Module                  Size  Used by
wmi_bmof               16384  0
intel_wmi_thunderbolt    20480  0
dell_smm_hwmon         20480  0
snd_pcm               172032  14 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_sof_utils,snd_soc_skl,snd_hda_core,snd_pcm_dmaengine
iwlwifi               491520  1 iwlmvm
kvm                  1118208  1 kvm_intel
videobuf2_v4l2         40960  1 uvcvideo
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
irqbypass              16384  1 kvm
rapl                   16384  0
intel_cstate           20480  0
btusb                  65536  0
intel_uncore          212992  0
pcspkr                 16384  0
btrtl                  28672  1 btusb
psmouse               212992  0
iwlmei                 53248  2 iwlmvm,iwlwifi
snd                   126976  27 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_soc_hdac_hdmi,snd_compress,snd_soc_core,snd_pcm,snd_soc_skl_hda_dsp
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
i2c_i801               45056  0
i915                 3424256  28
btbcm                  24576  1 btusb
spi_intel_pci          16384  0
btintel                45056  1 btusb
cfg80211             1085440  4 iwlmvm,iwlmei,iwlwifi,mac80211
spi_intel              28672  1 spi_intel_pci
soundcore              16384  2 snd_ctl_led,snd
i2c_smbus              20480  1 i2c_i801
processor_thermal_device_pci_legacy    16384  0
mei_me                 53248  2
videodev              307200  3 videobuf2_v4l2,uvcvideo,videobuf2_common
intel_lpss_pci         28672  0
btmtk                  16384  1 btusb
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
ucsi_acpi              16384  0
intel_lpss             16384  1 intel_lpss_pci
idma64                 20480  0
bluetooth             872448  46 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
mc                     69632  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
mei                   167936  6 mei_hdcp,iwlmei,mei_pxp,mei_me
drm_buddy              20480  1 i915
processor_thermal_rfim    16384  1 processor_thermal_device
typec_ucsi             53248  1 ucsi_acpi
intel_ish_ipc          32768  0
ttm                    86016  1 i915
processor_thermal_mbox    16384  2 processor_thermal_rfim,processor_thermal_device
ecdh_generic           16384  1 bluetooth
processor_thermal_rapl    20480  1 processor_thermal_device
rfkill                 32768  12 iwlmvm,bluetooth,dell_laptop,cfg80211
intel_ishtp            69632  2 intel_ishtp_hid,intel_ish_ipc
drm_dp_helper         163840  1 i915
typec                  65536  1 typec_ucsi
intel_rapl_common      32768  2 intel_rapl_msr,processor_thermal_rapl
intel_pch_thermal      20480  0
intel_gtt              28672  1 i915
roles                  16384  1 typec_ucsi
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
vfat                   24576  1
i2c_hid_acpi           16384  0
fat                    90112  1 vfat
mac_hid                16384  0
int3403_thermal        20480  0
i2c_hid                40960  1 i2c_hid_acpi
int340x_thermal_zone    20480  2 int3403_thermal,processor_thermal_device
soc_button_array       20480  0
tpm_crb                20480  0
wmi                    45056  6 dell_wmi_sysman,intel_wmi_thunderbolt,dell_wmi,wmi_bmof,dell_smbios,dell_wmi_descriptor
tpm_tis                16384  0
int3400_thermal        20480  0
video                  57344  3 dell_wmi,dell_laptop,i915
intel_hid              28672  0
acpi_tad               20480  0
tpm_tis_core           28672  1 tpm_tis
acpi_thermal_rel       16384  1 int3400_thermal
acpi_pad               24576  0
lzo_rle                16384  8
sparse_keymap          16384  2 intel_hid,dell_wmi
dm_multipath           45056  0
sg                     49152  0
crypto_user            24576  0
fuse                  176128  5
zram                   45056  2
bpf_preload            24576  0
ip_tables              36864  5 iptable_filter,iptable_security,iptable_raw,iptable_nat,iptable_mangle
x_tables               57344  15 ip6table_filter,xt_conntrack,ip6table_raw,iptable_filter,iptable_security,ip6table_nat,xt_addrtype,ip6_tables,iptable_raw,ip_tables,iptable_nat,ip6table_mangle,ip6table_security,xt_MASQUERADE,iptable_mangle
ext4                 1011712  1
crc32c_generic         16384  0
crc16                  16384  2 bluetooth,ext4
mbcache                16384  1 ext4
jbd2                  188416  1 ext4
dm_crypt               61440  1
cbc                    16384  0
encrypted_keys         28672  1 dm_crypt
trusted                45056  2 encrypted_keys,dm_crypt
asn1_encoder           16384  1 trusted
tee                    40960  1 trusted
tpm                   102400  4 tpm_tis,trusted,tpm_crb,tpm_tis_core
rng_core               20480  1 tpm
dm_mod                184320  4 dm_crypt,dm_multipath
serio_raw              20480  0
crct10dif_pclmul       16384  1
atkbd                  36864  0
crc32_pclmul           16384  0
crc32c_intel           24576  3
ghash_clmulni_intel    16384  0
libps2                 20480  2 atkbd,psmouse
vivaldi_fmap           16384  1 atkbd
aesni_intel           380928  11
nvme                   61440  2
crypto_simd            16384  1 aesni_intel
xhci_pci               20480  0
cryptd                 24576  4 crypto_simd,ghash_clmulni_intel
nvme_core             172032  3 nvme
xhci_pci_renesas       24576  1 xhci_pci
i8042                  45056  1 dell_laptop
serio                  28672  6 serio_raw,atkbd,psmouse,i8042
